movement_id,이슈카테고리,입하예정일,실제입하일,프로젝트_발주자,출하장소,project_name,item (통합) (from order),이동수량_예정,입하수량,검수수량,불량수량_샘플링검수,재제작/추가제작,운영이슈내용(by물류),운영이슈개선여부,운영이슈개선방안_SCM,수량이슈내용,수량이슈대응방안_SCM,품질이슈내용구분,품질이슈대응필요여부,품질이슈내용,품질등급최초판정,품질등급의견_SCM,품질등급의견판단사유_SCM,품질이슈대응방안_SCM,이슈발생_Report,대표품목 계정구분 (from task)
MM00174526,품질이슈,2025.12.4,2025.11.28,남인호,신시어리웨일즈 주식회사,PNA37066-유시티메디칼,"스펙트럼컬러펜(블랙잉크), UV",101,101,20,6,,,,,,,인쇄 (인쇄 퀄리티 수준),대응 불필요(공유 리포팅),"인쇄가 약간씩 덜 되어 가로줄처럼 보이는 현상 확인되었습니다.
연한 가로줄이라 B급으로 확인되오나 인쇄 퀄리티 개선 위해 공유차 이슈 설정합니다.",B급,B급,해당 제품의 경우 생산 중 흔들림이 발생하여 면적이 큰 인쇄가 포함되면 사진처럼 이슈가 발생할 수 있습니다. B급 처리 부탁드립니다.,정상입고,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recNBxQ71smQrYXVp,8.수익
MM00174990,품질이슈,2025.12.4,2025.12.2,이난영,디에이치 코퍼레이션,PNA36751-코오롱모빌리티그룹,,28,28,226,1,,,,,,,"변형 (접힘, 눌림, 찌그러짐 자국)",대응 필요,찌그러짐이 있습니다. 추가 발주 부탁드립니다. ,C급,C급,샘플실 보유분과 교환하여 정상 입고 처리 완료했습니다.,재제작,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rec5aRmmojgEAbx4W,5.상품
MM00178322,품질이슈,2025.12.4,2025.12.5,김민지,유엘상사,PNA37711-제이씨앤엠(주),"시그니처다이어리(2합), 시그니처다이어리_커버, 시그니처다이어리_밴드, 색박(음각)",51,51,51,,,,,,,,인쇄 (인쇄 퀄리티 수준),대응 필요,"로고 부근 박 뭉침 발생 확인되었습니다(사진 1~3, 심한 7개).
사진 4와 같이 박 뭉침이 있어도 로고 식별은 가능한 경우가 대부분입니다.
시안 상 색박이 얇게 떨어져 있어야 해서 발생한 이슈 같습니다.
정상 입고 처리 여부 확인 부탁드립니다.",C급,B급,심한것 7개 보수해서 B급 출고하도록 하겠습니다.,"""납품후,후속대응""",https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rechF69dmbvtUcAq1,8.수익
MM00179894,품질이슈,2025.12.4,2025.12.4,육승미,서울디지털인쇄협동조합,PNA36975-KT그룹희망나눔재단,배경지(기본),1900,1900,1,1,재제작,,,,,,인쇄 (인쇄 퀄리티 수준),대응 필요,"사진1,2는 위가 어제자, 아래가 오늘자 입하 건 입니다.

시안 상 칼선 기준
전면 양측 2.5mm
후면 양측 4.2mm

실물 제품
전면 좌측 3mm, 우측 2mm
후면 좌측 4.2~3mm, 우측 5mm

정상 입고 처리 여부 확인 부탁드립니다.",,A급,"육안상 이상 없어 정상입고 부탁드립니다.
오후에 실물 확인하러 가겠습니다.",정상입고,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/reci47bh1JPlCLy2M,8.수익
MM00174476,품질이슈,2025.12.3,2025.12.3,이난영,주식회사 모아패키지,PNA31193-25년11월_재고생산,단품박스,3400,3400,50,50,,,,,,,인쇄 (인쇄 퀄리티 수준),대응 필요,시안 상 후면에 존재하는 상세표시 부분이 인쇄되지 않은 채 입하되었습니다.,C급,A급,"제품실 확인결과 pt4770박스는 더이상 사용하지않고 맥세이프 맥스,슬림,2.0 3종 범용 스탠다드 박스로 시안 변경 되어 새로운 파츠pt4726으로 사용된다고 합니다. 운영 이슈로 확인되고, 4726파츠 시안 확인 결과 제품은 정상제품으로 제작된 것이어서 정상 입하 처리 부탁드리고.. 입하 파츠관련해서는 정리후에 별도로 요청드리겠습니다. ",정상입고,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recFaFPK9bRDLSjmV,8.수익
MM00174814,품질이슈,2025.12.3,2025.12.4,이난영,주식회사 모아패키지,PNA36776-텐씨씨,"골지G형박스(S), 목형제작, Solid커스텀G형박스",335,335,20,,,,,,,,기타,대응 필요,"에어비앤비 건과 마찬가지로 물컹거림 이슈입니다.
이 건도 내일 오전 확인 후 공유 드리겠습니다.",B급,B급,,정상입고,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/reczw1DB6xxSgK7u8,5.상품
MM00175158,품질이슈,2025.12.3,2025.12.4,이난영,주식회사 모아패키지,PNA36123-에어비앤비,"골지G형박스(L), Solid커스텀G형박스, 목형제작",320,320,20,20,,,,,,,기타,대응 필요,"퇴근시간 이후 입하되었는데 덜 마른듯 물컹거림이 있습니다.
랩핑 안쪽에 물방울도 맺혀 있고 젖은 부위도 있어 랩핑 뜯어놓았고 내일 다시 상태 체크 해 보겠습니다.
샘플링 위해 1개 접어보았는데 전체적으로 물컹함이 느껴지는 수준이라 공유차 이슈 설정합니다
내일 오전 상태 보고 다시 공유 드리겠습니다.
+ 임가공팀장님 말씀으로는 무빙스톤즈 커스텀박스도 임가공당시 물컹함이 많아 불량이 많았었다고 합니다.",B급,B급,,정상입고,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rec1pfazYbWoCpMtB,"5.상품,5.상품"
MM00178804,품질이슈,2025.12.3,2025.12.3,김민지,주식회사 디자인오엔,PNA37165-디라티오,"성책, 내추럴노트_커버, 색박(음각), 내추럴노트, 내추럴노트_내지(만년)",16,30,30,,재제작,,,,,,"손상 (기스, 찍힘, 뜯어짐, 파힘)",대응 불필요(공유 리포팅),"재제작 입하된 30개에서도 동일한 박누락 발생 확인되었습니다.
정상 입고 처리된 16개도 사진4와 같이 약한 박누락 확인됩니다.
심한 박누락 14개 제외후 정상 입고 처리하고자 합니다.",C급,C급,"16개만 B급 입고 부탁드리고 나머지 14개는 폐기 부탁드립니다.
추가적으로 필요한 수량 있으시면 공유부탁드립니다",정상입고,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recy7QmIXSiaRlG7m,8.수익
MM00168917,품질이슈,2025.12.2,2025.12.2,이난영,(주)청산인쇄,PNA36722-솔루엠,"시그니처다이어리(커스텀), 시그니처다이어리_커버, 시그니처다이어리_밴드, 시그니처다이어리_내지(커스텀인쇄1-32p옵셋풀컬러.나머지블랙인쇄), 색박(음각), 교정시트",1082,1083,20,12,,,,,,,"변형 (접힘, 눌림, 찌그러짐 자국)",대응 필요,"후면 타공 및 성책 불량 6~70% 발생 확인되었습니다.
후면 타공 불량의 경우 끈을 끼우면 크게 티가 나지 않아 정상 입고 여부 크로스 체크 부탁드립니다.",,B급,실물 확인했습니다. B급정상제품으로 입하부탁드립니다.,정상입고,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recHtAYQY2DjK886m,"5.상품,8.수익"
MM00175432,품질이슈,2025.12.2,2025.12.3,김하은,엠알오즈(MROZ),PNA36975-KT그룹희망나눔재단,"브랜디드피규어, 브랜디드피규어(기본피규어), UV, UV, 핸드블록(A), 지퍼백",211,212,213,,,,,,,,인쇄 (인쇄 퀄리티 수준),대응 필요,"전면 배경지 좌측 치우침 발생 확인되었습니다.
여유분으로 입하된 배경지도 동일한 이슈입니다.",C급,C급,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recOhSScytTmH0fDv,5.상품
MM00175437,품질이슈,2025.12.2,2025.12.3,김하은,엠알오즈(MROZ),PNA36975-KT그룹희망나눔재단,"브랜디드피규어, 브랜디드피규어(기본피규어), UV, UV, 핸드블록(A), 지퍼백",109,110,111,,,,,,,,인쇄 (인쇄 퀄리티 수준),대응 필요,"전면 배경지 좌측 치우침 발생 확인되었습니다.
여유분으로 입하된 배경지도 동일한 이슈입니다.",,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recKJX6yOVR6W1nA2,5.상품
MM00175460,품질이슈,2025.12.2,2025.12.3,김하은,엠알오즈(MROZ),PNA36975-KT그룹희망나눔재단,"브랜디드피규어, 브랜디드피규어(기본피규어), UV, UV, 핸드블록(A), 지퍼백",110,111,112,,,,,,,,인쇄 (인쇄 퀄리티 수준),대응 필요,"전면 배경지 좌측 치우침 발생 확인되었습니다.
여유분으로 입하된 배경지도 동일한 이슈입니다.",,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recPNgwUA33rM7XIz,5.상품
MM00175472,품질이슈,2025.12.2,2025.12.3,김하은,엠알오즈(MROZ),PNA36975-KT그룹희망나눔재단,"브랜디드피규어, 브랜디드피규어(기본피규어), UV, UV, 핸드블록(A), 지퍼백",209,210,211,,,,,,,,인쇄 (인쇄 퀄리티 수준),대응 필요,"전면 배경지 좌측 치우침 발생 확인되었습니다.
여유분으로 입하된 배경지도 동일한 이슈입니다.",,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recq976y9MPrcx8r3,5.상품
MM00175480,품질이슈,2025.12.2,2025.12.3,김하은,엠알오즈(MROZ),PNA36975-KT그룹희망나눔재단,"브랜디드피규어, 브랜디드피규어(기본피규어), UV, UV, 핸드블록(A), 지퍼백",109,110,111,,,,,,,,인쇄 (인쇄 퀄리티 수준),대응 필요,"전면 배경지 좌측 치우침 발생 확인되었습니다.
여유분으로 입하된 배경지도 동일한 이슈입니다.",,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recB37GDg33VesqAy,5.상품
MM00175503,품질이슈,2025.12.2,2025.12.3,김하은,엠알오즈(MROZ),PNA36975-KT그룹희망나눔재단,"브랜디드피규어, UV, 브랜디드피규어(기본피규어), UV, 핸드블록(A), 지퍼백",111,112,113,,,,,,,,인쇄 (인쇄 퀄리티 수준),대응 필요,"전면 배경지 좌측 치우침 발생 확인되었습니다.
여유분으로 입하된 배경지도 동일한 이슈입니다.",,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recWjFlwmPN9eRZSz,5.상품
MM00175506,품질이슈,2025.12.2,2025.12.3,김하은,엠알오즈(MROZ),PNA36975-KT그룹희망나눔재단,"브랜디드피규어, 브랜디드피규어(기본피규어), UV, UV, 핸드블록(A), 지퍼백",111,112,113,,,,,,,,인쇄 (인쇄 퀄리티 수준),대응 필요,"전면 배경지 좌측 치우침 발생 확인되었습니다.
여유분으로 입하된 배경지도 동일한 이슈입니다.",,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recWffVwiSOfg257E,5.상품
MM00175508,품질이슈,2025.12.2,2025.12.3,김하은,엠알오즈(MROZ),PNA36975-KT그룹희망나눔재단,"브랜디드피규어(기본피규어), 브랜디드피규어, UV, UV, 핸드블록(A), 지퍼백",219,220,221,,,,,,,,인쇄 (인쇄 퀄리티 수준),대응 필요,"전면 배경지 좌측 치우침 발생 확인되었습니다.
여유분으로 입하된 배경지도 동일한 이슈입니다.",,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recSNU9LJuZbOJOFj,5.상품
MM00175514,품질이슈,2025.12.2,2025.12.3,김하은,엠알오즈(MROZ),PNA36975-KT그룹희망나눔재단,"브랜디드피규어, 브랜디드피규어(기본피규어), UV, UV, 핸드블록(A), 지퍼백",109,110,111,,,,,,,,인쇄 (인쇄 퀄리티 수준),대응 필요,"전면 배경지 좌측 치우침 발생 확인되었습니다.
여유분으로 입하된 배경지도 동일한 이슈입니다.",,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recL26B2ZlFlemFiD,5.상품
MM00175515,품질이슈,2025.12.2,2025.12.3,김하은,엠알오즈(MROZ),PNA36975-KT그룹희망나눔재단,"브랜디드피규어, 브랜디드피규어(기본피규어), UV, UV, 지퍼백, 핸드블록(A)",213,214,215,,,,,,,,인쇄 (인쇄 퀄리티 수준),대응 필요,"전면 배경지 좌측 치우침 발생 확인되었습니다.
여유분으로 입하된 배경지도 동일한 이슈입니다.",,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recTrc4My0IBw2oXS,5.상품
MM00175522,품질이슈,2025.12.2,2025.12.3,김하은,엠알오즈(MROZ),PNA36975-KT그룹희망나눔재단,"브랜디드피규어, 브랜디드피규어(기본피규어), UV, UV, 핸드블록(A), 지퍼백",107,108,109,,,,,,,,인쇄 (인쇄 퀄리티 수준),대응 필요,"전면 배경지 좌측 치우침 발생 확인되었습니다.
여유분으로 입하된 배경지도 동일한 이슈입니다.",,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recY5f8hBJwyIIH2P,5.상품
MM00175523,품질이슈,2025.12.2,2025.12.3,김하은,엠알오즈(MROZ),PNA36975-KT그룹희망나눔재단,"브랜디드피규어, 브랜디드피규어(기본피규어), UV, UV, 핸드블록(A), 지퍼백",214,215,216,,,,,,,,인쇄 (인쇄 퀄리티 수준),대응 필요,"전면 배경지 좌측 치우침 발생 확인되었습니다.
여유분으로 입하된 배경지도 동일한 이슈입니다.",,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recrNMZwoEtteompG,5.상품
MM00177542,품질이슈,2025.12.2,2025.12.1,김민지,유엘상사,PNA37491-동일인테리어,"슬로건다이어리(불박인쇄), 공박(음각)",151,151,30,3,,,,,,,"변형 (접힘, 눌림, 찌그러짐 자국)",대응 불필요(공유 리포팅),"내지 양면 높낮이의 차이가 있으나 크게 뒤틀리지 않아 정상 입고 처리 하고자 하오나 10% 정도로 발생한 이슈라서 공유 차 이슈 설정합니다.
(난영님께서 육안 확인 하셨습니다.)",B급,B급,"내지 양면 높낮이의 차이가 있으나 육안상 크게 튀지 않아 정상 입고 처리함.
전량 151개 중 10% 정도로 발생 ",정상입고,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recD12TKFbHuOeIlb,8.수익
MM00177856,품질이슈,2025.12.2,2025.12.2,남인호,신시어리웨일즈 주식회사,PNA37534-슈퍼히어로,,2,2,1,,,,,,,,"손상 (기스, 찍힘, 뜯어짐, 파힘)",대응 필요,"다수의 작은 찍힘 확인 되었습니다.
또한 시안 상 주황~투명(불투명도 0) 그라데이션이나 주황~흰색으로 인쇄 되었습니다.",C급,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recbTmGhtUGzBaYeS,8.수익
MM00178359,품질이슈,2025.12.1,2025.12.1,남인호,신시어리웨일즈 주식회사,PNA36123-에어비앤비,"베케이션여권케이스, 베케이션여권케이스, UV",10,10,10,,재제작,,,,,,인쇄 (인쇄 퀄리티 수준),대응 필요,접히는 부분 갈라짐 이슈가 있습니다. ,C급,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recZexbwL4vphZtht,8.수익
MM00173743,품질이슈,2025.11.28,2025.11.19,육승미,이지굿스,PNA36210-경신전선,에폭시스티커(리마커블UV칫솔살균기),123,128,128,,,,,,,,"오염 (얼룩, 번짐, 잉크 튐, 그을림)",대응 필요,"눈에 띄는 재단 불량 1개, 흑점 오염 3개(사진 1-3),
로고를 가리지 않으나 존재라는 흑점 11개 확인되었습니다.
정상 입고 처리 여부 확인 부탁드립니다.",,,"불량 감안하여 여분 넉넉하게 전달주시기 때문에 불량 제외 정수량 이상일 경우 이슈 공유 없이 입고 부탁드립니다 :) 
(100개만큼만 결제, 28개는 불량 대비 여분 무상 제공)

눈에 띄는 오염은 보통 임가공 시 제외하고 사용하나, 가능하다면 검수팀에서 제외하고 입고해주시기 바랍니다. 

불량 기준 (불량 제외 시 정수량보다 부족할 경우)
b급 : 로고를 침범하지 않는 미세한 흑점
c급 : 로고를 침범하는 흑점, 30cm에서 봐도 눈에 띌 정도로 크기가 큰 흑점, 재단 불량",정상입고,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/reckPrbXAf6KDqOq4,8.수익
MM00174636,품질이슈,2025.11.28,2025.11.21,육승미,서울디지털인쇄협동조합,PNA35395-포비스마자르새빛회계법인,웰컴페이퍼(small),134,168,168,,,,,,,,인쇄 (인쇄 퀄리티 수준),대응 필요,"중앙 정렬 오류로 우측 치우침 발생 확인되었습니다.
정수량 150개에서 16개 부족합니다.",C급,C급,"16개+a 재제작하여 입고하겠습니다 ( 재제작 mm : MM00176711 )
재제작건 입고 확인 후 불량 증빙없이 폐기 부탁드립니다.",재제작,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recoohjixVH3dnhtl,8.수익
MM00174792,품질이슈,2025.11.28,2025.11.27,이난영,(주)청산인쇄,PNA37237-경기도구리남양주교육지원청,매뉴얼,189,380,379,,,,,,,,인쇄 (인쇄 퀄리티 수준),대응 불필요(공유 리포팅),"중간부분 '깃들며'의 깃 의 인쇄가 부분인쇄 누락되엇습니다
정상:189장
불량:191장
정수량엔 문제없으나 인쇄퀄리티 및 불량수량이 많아 공유차 이슈 설정합니다",C급,C급,정상품 수량충족되어 추가제작 없이 불량품만 폐기부탁드립니다.,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recBIg9EqHgBIrHFn,8.수익
MM00174976,품질이슈,2025.11.28,2025.11.28,육승미,주식회사 꾸띠잔홀딩스,PNA37102-네이버,"매트블랙텀블러, 레이저각인, 매트블랙텀블러, 샘플(본제작과동일옵션)",421,421,1,1,,,,,,,시안 (시안 일치도),대응 필요,"시안 크기가 축소 되지 않은 상태로 인쇄되었습니다. 그래서 슬리브 착용 시 N모양 사각 로고가 가려집니다.
비닐 내에 있는 제품이 샘플 건으로 진행된 것으로 변동 사항 없음이 확인 되었습니다.",C급,C급,협력사 실수로 전량 재작업하여 12월 2일 오전까지 입하하겠습니다. 기존 작업분은 회수 처리할지 업체와 협의중입니다. 보관부탁드립니다.,재제작,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recXnnQKXcJiL66sF,8.수익
MM00176054,품질이슈,2025.11.28,2025.11.27,육승미,주식회사 더블에이치,PNA37379-한국경제인협회,"클래시차량용방향제, 클래시차량용방향제, 전사",102,102,20,,,,,,,,"손상 (기스, 찍힘, 뜯어짐, 파힘)",대응 불필요(공유 리포팅),"고정이 안된 얇은 블리스터로 배송되어 입하 되다보니 개별 포장 되어 있어도 약간의 기스와 찍힘이 발생되는 듯 합니다.
이 부분 개선 요청을 위해 공유 차 이슈 설정합니다.",B급,B급,"기존 개별포장+블리스터는 유지하되, 박스 흔들림 최소화되도록 포장 요청드리겠습니다. ",정상입고,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recdPIkWoKBxkTcLg,
MM00176274,품질이슈,2025.11.28,2025.12.2,김민지,주식회사 디자인오엔,PNA37165-디라티오,"내추럴노트_커버, 내추럴노트, 성책, 색박(음각), 내추럴노트_내지(만년)",102,102,20,6,,,,,,,"손상 (기스, 찍힘, 뜯어짐, 파힘)",대응 필요,"사진 1~5: 정도가 심한 박 누락 및 하단 오염
사진 6,7: 정도가 심하지 않으나 산발적인 박 누락

정도가 심하지 않으나 산발적으로 박 누락된 건이 대부분이라 이 경우도 정상 입고 가능한지 확인 부탁드립니다.?",,C급,불량 대응용 수량 30부 추가 제작하여 12월 3일 오전 입하하겠습니다.,재제작,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recB1RcjIqJACIgDh,8.수익
MM00176895,품질이슈,2025.11.28,2025.11.26,김민지,빅스타,PNA37010-폭스바겐파이낸셜서비스코리아,,2,2,2,,,,,,,,"오염 (얼룩, 번짐, 잉크 튐, 그을림)",대응 불필요(공유 리포팅),"샘플로 입하된 2개 모두 이염 발생 확인되었습니다.
더 작게 이염된 2번 사진의 제품으로 출고 예정입니다.",B급,C급,일정 여유가 있어 2개 재제작하여 금요일까지 납품 하겠습니다.,재제작,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rec6wRuDNN8Q5Z0uL,5.상품
MM00173941,품질이슈,2025.11.27,2025.11.26,이난영,(주)청산인쇄,PNA37276-수성구청,펜슬리브,370,370,370,,,,,,,,"오염 (얼룩, 번짐, 잉크 튐, 그을림)",대응 필요,"뒷면 백지 부분에 검은색 인쇄가 묻어나는 이슈입니다.
정도가 심해 전수검수 진행하였고,
깨끗한 a급은 11장, b급 59장 입니다.
b급도 번짐 정도가 덜한것이지 깨끗하지는 않습니다.
검수하고나니 손에 검은색이 묻어나는 정도라 지금 깨끗한 것들도 작업 시 묻어날 수 있을 것 같습니다.
수성구청도 꽤나 꼼꼼히 보는 고객사라 정상입고는 어려울것으로 판단됩니다.
첫번째 이미지가 c급/두번째 이미지가 b급입니다.",C급,C급,전량폐기부탁드립니다.12월 1일 오전까지 재제작하여 납품하겠습니다.,재제작,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recrfz6Amv9pZtmaM,5.상품
MM00175582,품질이슈,2025.11.27,2025.11.25,김민지,(주)승화파트너스,PNA37537-(주)아이비그룹,"그래픽에코백, 그래픽에코백_기본(광목원단10수2합), 샘플(본제작과동일옵션), 전사",2,2,2,,,,,,,,시안 (색상 일치도),대응 필요,"실물 제품이 시안 보다 노란빛으로 인쇄되었습니다.
정상 입고 처리 여부 확인 부탁드립니다.",,B급,전사인쇄이기때문에 시안과 동일하게 컬러구현이 어렵습니다. 출고 부탁드립니다.,정상입고,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recpY3F9gDyDLb6ae,5.상품
MM00163772,품질이슈,2025.11.26,2025.11.21,이난영,주식회사 디자인오엔,PNA35090-희림건축,"내추럴노트_내지(커스텀.1-32p.나머지블랙), 성책, OPP, 샘플, 샘플, 내추럴노트, 색박(음각), 색박(음각), 색박(음각), 색박(음각)",5050,5050,5,3,,,,,,,기타,대응 필요,"내지 절단면이 뭉쳐져 재단되어 낱장으로 넘어가지 않는 부분들이 있습니다.
손으로 떼면 떼어지나 본드 자국이 조금 남는 것들도 있습니다.
다영으로 입하되어 200개 표본 검수 진행 예정이며, 우선 제가 5권받아 검수 해 보니 3권에서 발견되었습니다.
워낙 까다로운 고객사라 우선 공유드립니다.",B급,B급,"정상 입고 처리 부탁드리고, 금요일까지 50개 여분 추가로 발송 예정입니다. 여분 여유롭게 출고하여 대응하는 방향으로 진행 부탁드립니다.",정상입고,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recUgVq42awd0EpMn,"5.상품,8.수익,8.수익,8.수익,8.수익"
MM00171663,품질이슈,2025.11.26,2025.11.27,이난영,(주)청산인쇄,PNA36451-삼성SDS,"페이퍼링캘린더_추상적산출물, 페이퍼링캘린더_삼각대, 링제본, 페이퍼링캘린더_커버, 페이퍼링캘린더_내지",535,535,6,6,,,,,,,시안 (색상 일치도),대응 필요,"시안대비 초록빛이 많이 도는듯 합니다.
페이퍼링캘린더 기존 인쇄건들 참고하여 선명하게 인쇄 어려운부분은 인지하고 있으나 확인차 그부분도 공유드립니다
추가로, 10월 부분에 작은 이염들이 있습니다.
제가 6권 꺼내보았는데 6권 모두 10월에 작은 이염들이 있습니다.
내일 다영 이동건이라 오전중 빠르게 확인 부탁드립니다.",B급,B급,B급 정상입하처리 부탁드립니다. ,정상입고,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rec6oiDgkvvMmSbrb,5.상품
MM00172935,품질이슈,2025.11.26,2025.12.1,김하은,엠알오즈(MROZ),PNA37193-아이지이,"브랜디드피규어(기본피규어), 본드접착(키링), UV, 브랜디드피규어키링, 실버팩",155,155,30,4,,,,,,,인쇄 (인쇄 퀄리티 수준),대응 필요,배경지 치우침 발생 확인되었으며 배경지 여분 없이 입하되었습니다.,,C급,엠알오즈에 잔여분 있는 지 확인 후 부족할 경우 12/1 점심 전까지 추가제작 및 교체 진행하겠습니다.,재제작,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recLSZ6iS8eBCNqZv,5.상품
MM00173095,품질이슈,2025.11.26,2025.12.1,김하은,엠알오즈(MROZ),PNA37232-도쿄일렉트론코리아,"브랜디드피규어(기본피규어), 본드접착(키링), UV, 브랜디드피규어키링, 핸드블록(B), UV, 실버팩",310,312,30,5,,,,,,,인쇄 (인쇄 퀄리티 수준),대응 필요,배경지 치우침 발생 확인 되었으며 배경지 여분 없이 입하 되었습니다.,,C급,엠알오즈에 잔여분 있는 지 확인 후 부족할 경우 12/1 점심 전까지 추가제작 및 교체 진행하겠습니다.,재제작,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rec2blWaROGpuu5kg,5.상품
MM00173913,품질이슈,2025.11.26,2025.11.24,김민지,(주)홍기씨앤디,PNA36571-현대위아,볼마커(자유형.25x25이내.1-4색),103,103,101,,,,,,,,기타,이슈 진위여부 확인 필요,그동안의 볼마커와 다르게 입고되어 제작 특이사항이 있는 것인지 아니면 잘못 입고된 것인지 확인이 필요합니다. ,,F급,본건 오제작되어 금일 회수하여 보수후 오후중으로 재납품 예정입니다.,재제작,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recJUI8iK05TA4wlb,5.상품
MM00175922,품질이슈,2025.11.26,2025.11.26,육승미,서울디지털인쇄협동조합,PNA35374-야마하,사각스티커,900,900,,,,,,,,,"변형 (접힘, 눌림, 찌그러짐 자국)",대응 필요,"칼선이 제대로 절단되지 않아 스티커가 떼어지지 않습니다.
이미 다영으로 이동한 건이라 정확한 수량 확인이 어렵습니다.
다만 이런이슈 발생시 대부분의 수량이 동일하게 발생되었습니다.
내일 임가공 건이라 빠른 대응 부탁드립니다.",C급,C급,재제작하여 내일까지 전달하겠습니다.,재제작,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rechiBuqhXZM4mMg1,8.수익
MM00170635,품질이슈,2025.11.25,2025.12.3,이난영,(주)청산인쇄,PNA35316-맥슨모터코리아,"에디트캘린더_커버, 에디트캘린더_삼각대, 에디트캘린더_내지(커스텀인쇄), 색박(음각), 색박(음각), 에디트캘린더",1050,1050,1,1,,,,,,,인쇄 (인쇄 퀄리티 수준),대응 필요,"미세한 박 누락 및 박 번짐, 내지 오염 확인 되었습니다.
다만, 전량 다영기획으로 입고되었고 1개만 전달 받아 검수한 건이라 전수검수가 불가합니다.
다영기획 측에 품질검수기준으로 검수를 요청드릴 예정입니다.
+ 백지에 인쇄 묻어나는 이슈 공유 완료 함. ",,B급,백박+엠보있는용지로 작업할 경우 최선의 퀄리티고불량 예상하여 여분 충분하게 발주했습니다.b급 출고로 부탁드립니다,정상입고,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recy2rFJF2KwwOJkE,5.상품
MM00171010,품질이슈,2025.11.25,2025.11.20,이난영,(주)청산인쇄,PNA37064-사단법인공감인,"페이퍼링캘린더_삼각대, 페이퍼링캘린더_추상적산출물, 페이퍼링캘린더_커버, 링제본, 페이퍼링캘린더_내지",354,355,100,30,,,,,,,"오염 (얼룩, 번짐, 잉크 튐, 그을림)",대응 필요,"일부수량에서 하단 부분 오염 발견 되었습니다.
지우개로 지워보았으나 완전히 지워지지는 않습니다.
다만, 세워서 보면 크게 눈에 띄진 않아 입고 가능해 보이는데 의견 부탁드립니다.",B급,B급,B급 입고부탁드립니다,정상입고,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rec0FArvfF587cccv,5.상품
MM00174679,품질이슈,2025.11.25,2025.11.25,육승미,서울디지털인쇄협동조합,PNA36724-KT&G상상마당,띠지,146,146,120,,,,,,,,"패키지 (패키지&부자재 파손, 오염 등) ",대응 필요,접지가 안되어 있는건 발견되었습니다. 50개 부족한 상황입니다. 익일출고건으로 빠른 대응 부탁드립니다. ,C급,C급,오시 재작업 후 재입고 완료,재제작,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recBJgSjpecmbsGJ8,8.수익
